product_id,name,category,price,Updatedat
1000,Apple MacBook Pro M3,Electronics,1599,2025-12-07 17:30:00
1001,Herman Miller Aeron Chair,Furniture,1250,2025-12-07 17:30:00
1002,Sony WH-1000XM5,Electronics,348,2025-12-07 17:30:00
1003,Dyson V15 Detect,Home,749,2025-12-07 17:30:00
1004,Logitech MX Master 3S,Accessories,99,2025-12-07 17:30:00
1005,Samsung Galaxy S24 Ultra,Electronics,1199,2025-12-08 17:30:00
1006,Dell UltraSharp 27 Monitor,Electronics,539,2025-12-07 17:30:00
1007,Keychron Q1 Pro Keyboard,Accessories,219,2025-12-08 17:30:00
1008,Hydro Flask 32oz,Lifestyle,45,2025-12-07 17:30:00
1009,Levis 501 Original Jeans,Apparel,79,2025-12-07 17:30:00
1010,Nike Air Force 1,Apparel,110,2025-12-07 17:30:00
1011,Adidas Ultraboost Light,Apparel,190,2025-12-07 17:30:00
1012,Ray-Ban Aviator Classic,Accessories,171,2025-12-07 17:30:00
1013,The North Face Puffer,Apparel,320,2025-12-07 17:30:00
1014,Samsonite Omni Luggage,Travel,149,2025-12-07 17:30:00
1015,Nespresso Vertuo Plus,Kitchen,169,2025-12-07 17:30:00
1016,Kindle Paperwhite,Electronics,139,2025-12-07 17:30:00
1017,iPad Air 5th Gen,Electronics,599,2025-12-07 17:30:00
1018,Bose QuietComfort Headphones,Electronics,349,2025-12-07 17:30:00
1019,GoPro Hero 12 Black,Cameras,399,2025-12-07 17:30:00
